transaction_number,instance_date,group_en,procedure_en,is_offplan_en,is_free_hold_en,usage_en,area_en,prop_type_en,prop_sb_type_en,trans_value,procedure_area,actual_area,rooms_en,parking,nearest_metro_en,nearest_mall_en,nearest_landmark_en,total_buyer,total_seller,master_project_en,project_en,instance_date_timestamp,date_col,time_col,price_per_sqm,price_per_room,budget_tier,has_parking
13-2556-2025,2025-02-03 13:29:04,Mortgage,Mortgage Registration,Ready,Free Hold,Residential,JUMEIRAH BEACH RESIDENCE,Unit,Hotel,1578530000.0,102052.66,102052.66,NA,313,Jumeirah Beach Residency,Marina Mall,Burj Al Arab,0,0,,Jumeirah Gate,2025-02-03 13:29:04,2025-02-03,13:29:04,15467.8,,High Budget,YES
11-4350-2025,2025-02-03 13:49:41,Sales,Sale,Ready,Non Free Hold,Commercial,SAMA AL JADAF,Land,Commercial,10.77,1053.61,1053.61,,,Al Jadaf Metro Station,Dubai Mall,Downtown Dubai,0,0,,,2025-02-03 13:49:41,2025-02-03,13:49:41,0.01,,Low Budget,NO
