area_en,avg_price_per_region
Wadi Al Safa 2,3524088.66
ARABIAN RANCHES I,5915812.39
Al Barshaa South Second,1545972.35
EMAAR SOUTH,1919854.7
DUBAI SCIENCE PARK,1914474.9
Madinat Dubai Almelaheyah,4058963.64
Burj Khalifa,26092668.49
VILLANOVA,2667768.85
Al Qusais Industrial Fifth,713809.23
Naif,18295144.73
Al Qusais First,15600000.0
Al Warsan Third,1884473.15
Al Jadaf,3361636.14
Wadi Al Safa 5,3409043.92
DUBAI HEALTHCARE CITY - PHASE 2,2319903.74
Jabal Ali First,2570540.66
Al Mamzer,6391502.93
HORIZON,5452298.63
Mena Jabal Ali,519000000.0
LIWAN,1220777.5
Um Hurair First,39000000.0
Al Hamriya,11026326.13
Al Warsan Second,8792151.16
MEYDAN ONE,1343085.26
DUBAI DESIGN DISTRICT,3658559.49
Ras Al Khor,54838709.68
Nad Al Shiba Second,21738341.66
Wadi Al Safa 3,8919530.02
BURJ KHALIFA,4848650.31
SUSTAINABLE CITY,3858806.41
NAD AL SHEBA GARDENS,7426184.18
Eyal Nasser,7366599.11
Al Nahda Second,36739788.07
Bukadra,2796857.85
Al Aweer Second,2546142.92
SAMA AL JADAF,26059123.3
AL WAHA,1736724.02
Jumeirah Third,29043553.53
Al Kifaf,2697954.04
Muhaisanah Third,3091876.17
DUBAI MARINA,2302836.0
Wadi Al Safa 4,2371028.6
Al Karama,15749024.09
ARABIAN RANCHES POLO CLUB,18681250.0
INTERNATIONAL CITY PH 1,732284.25
GRAND HILLS DUBAI,1110000000.0
Al Thanyah Third,3900000.0
Oud Al Muteena First,956509.33
Al Suq Al Kabeer,12351740.42
Al Twar First,2731666.67
LA MER,5313062.54
Al Barshaa South First,804584.12
Al Manara,14330891.0
BARSHA HEIGHTS,5406590.31
Al Dhagaya,5756503.55
PALM DEIRA,4002604.17
Ras Al Khor Industrial First,3202421.03
Jabal Ali Industrial Second,46278212.33
Hor Al Anz East,41878000.25
Al Yelayiss 5,923760.2
MILLENNIUM,11349820.36
DOWN TOWN JABAL ALI,1233995.52
Warsan First,2087480.61
INTERNATIONAL CITY PH 2 & 3,2003281.23
Nad Al Hamar,7488967.28
Zaabeel Second,6666014.17
